iter	Passed	Remaining
0	697	557287
1	1428	570108
2	2159	573670
3	2675	532410
4	3157	501985
5	3656	483919
6	4277	484561
7	4644	459807
8	5176	454989
9	5661	447296
10	6286	450925
11	6859	450457
12	7560	457696
13	7982	448171
14	8465	443046
15	8998	440936
16	9549	439825
17	9928	431334
18	10455	429784
19	11102	432998
20	11622	431155
21	12098	427839
22	12703	429160
23	13404	433406
24	14127	437962
25	14519	432219
26	15102	432374
27	15726	433609
28	16285	432969
29	16858	432703
30	17577	436028
31	18235	437649
32	18712	434932
33	19625	442145
34	20267	442982
35	20865	442814
36	21201	437204
37	21534	431816
38	22167	432551
39	22517	427828
40	22925	424398
41	23657	426966
42	24354	428756
43	24739	425069
44	25280	424151
45	25929	425017
46	26689	427599
47	27377	428915
48	28153	431497
49	28814	432220
50	29645	435381
51	30424	437641
52	31242	440337
53	31952	441415
54	32639	442122
55	33541	445623
56	34234	446250
57	34922	446767
58	35729	448742
59	36473	449836
60	37168	450283
61	37918	451350
62	38573	451254
63	39185	450637
64	40161	454130
65	40887	454719
66	41527	454323
67	42452	456986
68	43247	458168
69	43955	458394
70	44656	458512
71	45394	458991
72	46088	458994
73	46680	457974
74	47419	458386
75	48175	458937
76	48941	459537
77	49594	459063
78	50349	459520
79	50979	458815
80	51803	459832
81	52396	458790
82	53194	459523
83	54324	463048
84	55094	463445
85	55803	463295
86	56577	463674
87	57287	463504
88	58135	464432
89	58766	463603
90	59581	464211
91	60425	465016
92	61191	465188
93	61969	465428
94	62525	464007
95	63345	464536
96	64129	464774
97	64816	464294
98	65430	463302
99	66169	463183
100	66921	463151
101	67726	463461
102	68445	463171
103	69142	462725
104	70072	463813
105	70823	463696
106	71520	463210
107	72185	462519
108	73064	463187
109	73756	462653
110	74509	462494
111	75351	462871
112	76111	462732
113	76936	462970
114	77653	462542
115	78569	463286
116	79238	462563
117	79849	461500
118	80391	460055
119	81175	459995
120	81715	458552
121	82285	457289
122	82769	455567
123	83494	455179
124	84231	454848
125	84962	454481
126	85618	453709
127	86373	453463
128	87152	453326
129	87937	453218
130	88583	452385
131	89413	452486
132	90288	452799
133	91111	452838
134	92097	453663
135	92878	453467
136	93619	453066
137	94172	451755
138	94740	450526
139	95476	450101
140	96124	449261
141	96579	447531
142	96899	445195
143	97507	444201
144	98051	442920
145	98739	442297
146	99519	442083
147	100160	441246
148	100829	440538
149	101670	440570
150	102406	440144
151	103086	439473
152	103727	438637
153	104550	438567
154	105300	438187
155	106015	437654
156	106721	437081
157	107364	436253
158	107781	434513
159	108385	433543
160	108804	431838
161	109364	430709
162	109753	428913
163	110463	428381
164	111099	427565
165	111824	427088
166	112458	426263
167	113149	425658
168	113904	425288
169	114463	424187
